customer_id,Age,Gender,SubscriptionType,MonthlyUsageHours,NumTransactions,Complaints,Churn
100235,26,Male,Premium,120,29,9,0
103662,34,Female,Basic,199,47,9,0
104117,47,Male,Premium,40,6,7,0
100617,36,Male,Premium,32,25,8,0
101202,53,Female,Gold,78,37,3,0
103143,51,Female,Premium,89,20,8,0
103165,21,Female,Premium,103,8,4,0
103064,64,Female,Basic,187,26,7,0
101676,19,Female,Gold,51,30,7,0
102165,34,Male,Premium,30,22,5,0
101935,55,Female,Premium,37,27,3,0
104137,59,Female,Premium,48,9,5,0
101908,64,Male,Basic,19,43,1,0
101505,19,Female,Premium,108,11,6,0
101386,29,Male,Gold,33,14,0,0
100508,21,Male,Basic,194,39,3,1
101827,34,Female,Premium,129,26,6,0
103224,36,Male,Premium,46,40,7,0
102264,23,Female,Gold,58,50,3,0
100763,40,Female,Basic,39,5,2,0
104568,53,Male,Gold,88,23,10,0
100249,32,Male,Premium,94,12,9,0
102767,55,Female,Basic,9,1,6,0
101323,58,Female,Basic,179,2,3,0
100590,62,Male,Gold,155,50,8,1
103371,40,Male,Premium,151,44,3,0
100164,68,Female,Basic,174,40,5,1
102217,46,Male,Basic,30,27,1,0
100056,51,Female,Premium,13,28,4,1
102312,62,Male,Gold,111,32,9,0
102207,41,Female,Premium,90,17,0,0
102456,24,Male,Premium,127,19,5,0
100334,54,Female,Basic,55,41,9,1
100675,58,Male,Gold,74,17,9,1
102597,29,Male,Gold,121,13,4,0
102384,60,Male,Premium,19,41,9,0
103002,56,Female,Gold,79,34,3,1
100157,27,Male,Premium,17,12,5,1
101769,34,Male,Basic,27,13,4,1
100333,58,Male,Gold,113,25,0,0
101570,24,Male,Basic,163,3,7,1
102497,47,Male,Gold,194,32,9,1
103631,37,Female,Basic,173,38,10,0
101632,20,Male,Gold,180,37,8,0
101806,61,Female,Premium,200,18,8,0
104926,23,Male,Basic,157,20,5,1
101136,29,Male,Gold,147,28,7,1
101315,35,Male,Premium,34,26,2,1
103417,37,Male,Basic,82,10,5,0
100514,28,Male,Gold,37,20,3,0
100502,22,Male,Premium,90,40,10,1
104140,50,Female,Premium,78,25,0,1
104787,27,Male,Premium,78,16,3,0
103129,20,Female,Premium,65,37,2,0
100370,18,Male,Gold,164,13,3,0
104057,32,Male,Basic,60,39,4,0
102582,40,Male,Gold,37,45,0,0
100006,58,Female,Gold,76,9,3,0
104702,55,Male,Premium,181,10,10,0
101870,62,Male,Gold,135,12,0,0
103942,41,Female,Gold,65,48,8,0
104661,67,Female,Gold,63,42,5,1
102058,57,Male,Basic,130,13,6,1
100767,36,Male,Basic,51,49,6,1
104627,20,Male,Premium,6,5,4,0
102644,60,Male,Gold,11,29,6,0
101991,63,Male,Basic,182,16,6,0
101547,27,Male,Gold,20,46,5,0
102895,36,Male,Gold,68,18,1,1
101658,30,Male,Basic,63,45,10,1
104704,69,Male,Gold,75,30,4,0
104083,42,Female,Premium,88,33,0,0
102352,37,Female,Gold,78,49,2,0
101996,24,Male,Gold,115,33,2,0
100111,59,Male,Premium,140,43,8,0
101716,35,Male,Premium,191,31,4,0
103962,43,Male,Gold,38,33,3,0
103473,62,Female,Premium,42,5,2,0
103961,33,Male,Premium,163,32,1,0
101907,34,Female,Gold,50,43,5,1
101344,48,Female,Basic,36,37,8,0
101858,56,Male,Gold,85,46,9,0
102043,48,Male,Gold,186,42,6,1
104169,55,Female,Basic,123,13,2,0
